Date,Count
2014-01-01,4100
2014-02-01,11078
2014-03-01,12949
2014-04-01,17779
2014-05-01,33452
2014-06-01,31267
2014-07-01,48888
2014-08-01,44007
2014-09-01,48293
2014-10-01,46838
2014-11-01,35527
2014-12-01,36811
2015-01-01,42064
2015-02-01,40899
2015-03-01,46776
2015-04-01,47772
2015-05-01,52081
2015-06-01,192811
2015-07-01,362235
2015-08-01,325970
2015-09-01,303557
2015-10-01,249513
2015-11-01,182531
2015-12-01,177828
2016-01-01,205189
2016-02-01,208136
2016-03-01,221618
2016-04-01,205290
2016-05-01,235631
2016-06-01,257321
2016-07-01,397034
2016-08-01,332826
