Date,Model,Count,Year,Month,Day,Day_of_Week,Lag_1,Lag_7,Rolling_Mean_3,Rolling_Mean_7
2016-08-31,M55,1,2016,8,31,2,4.0,17.0,15.666666666666666,105.14285714285714
2016-08-31,M43,1,2016,8,31,2,1.0,653.0,2.0,12.0
2016-08-31,M31,23,2016,8,31,2,1.0,8.0,8.333333333333334,14.142857142857142
2016-08-31,M90,31,2016,8,31,2,23.0,25.0,18.333333333333332,15.0
2016-08-31,M96,19,2016,8,31,2,31.0,3.0,24.333333333333332,17.285714285714285
2016-08-31,M69,1,2016,8,31,2,19.0,42.0,17.0,11.428571428571429
2016-08-31,M76,4,2016,8,31,2,1.0,4.0,8.0,11.428571428571429
2016-08-31,M56,2,2016,8,31,2,4.0,1.0,2.3333333333333335,11.571428571428571
2016-08-31,M92,2,2016,8,31,2,2.0,1.0,2.6666666666666665,11.714285714285714
2016-08-31,M72,15,2016,8,31,2,2.0,23.0,6.333333333333333,10.571428571428571
2016-08-31,M94,1,2016,8,31,2,15.0,31.0,6.0,6.285714285714286
2016-08-31,M8,189,2016,8,31,2,1.0,19.0,68.33333333333333,30.571428571428573
2016-08-31,M97,3,2016,8,31,2,189.0,1.0,64.33333333333333,30.857142857142858
2016-08-31,M71,5,2016,8,31,2,3.0,4.0,65.66666666666667,31.0
2016-08-31,M57,2,2016,8,31,2,5.0,2.0,3.3333333333333335,31.0
2016-08-31,M107,8,2016,8,31,2,2.0,2.0,5.0,31.857142857142858
2016-08-31,M99,2,2016,8,31,2,8.0,15.0,4.0,30.0
2016-08-31,M18,2400,2016,8,31,2,2.0,1.0,803.3333333333334,372.7142857142857
2016-08-31,M30,5,2016,8,31,2,2400.0,189.0,802.3333333333334,346.42857142857144
2016-08-31,M36,1,2016,8,31,2,5.0,3.0,802.0,346.14285714285717
2016-08-31,M86,2,2016,8,31,2,1.0,5.0,2.6666666666666665,345.7142857142857
2016-08-31,M13,12,2016,8,31,2,2.0,2.0,5.0,347.14285714285717
2016-08-31,M73,40,2016,8,31,2,12.0,8.0,18.0,351.7142857142857
2016-08-31,M81,1,2016,8,31,2,40.0,2.0,17.666666666666668,351.57142857142856
2016-08-31,M41,92,2016,8,31,2,1.0,2400.0,44.333333333333336,21.857142857142858
2016-08-31,M79,69,2016,8,31,2,92.0,5.0,54.0,31.0
2016-08-31,M70,1,2016,8,31,2,69.0,1.0,54.0,31.0
2016-08-31,M110,1,2016,8,31,2,1.0,2.0,23.666666666666668,30.857142857142858
2016-08-31,M95,3,2016,8,31,2,1.0,12.0,1.6666666666666667,29.571428571428573
2016-08-31,M51,4,2016,8,31,2,3.0,40.0,2.6666666666666665,24.428571428571427
2016-08-31,M117,7,2016,8,31,2,4.0,1.0,4.666666666666667,25.285714285714285
2016-08-31,M22,360,2016,8,31,2,7.0,92.0,123.66666666666667,63.57142857142857
2016-08-31,M10,54,2016,8,31,2,360.0,69.0,140.33333333333334,61.42857142857143
2016-08-31,M65,20,2016,8,31,2,54.0,1.0,144.66666666666666,64.14285714285714
2016-08-31,M115,4,2016,8,31,2,20.0,1.0,26.0,64.57142857142857
